Org Name,Org Code,Org Type,Function,Contact Name,Address 1,Address 2,Town,State,Zip,Phone,Fax,Grade,location,coordinates,lat,lon
Boston: Tynan Elementary School,350181,Public School,Principal,Leslie Gant,650 E. Fourth Street,,South Boston,MA,2127,617-635-8641,617-635-9758,"PK,K,01,02,03,04,05,06","650 E. Fourth Street, South Boston, MA","(42.33469235, -71.03903232504135)",42.33469235,-71.03903232504135
Boston: UP Academy Holland,350167,Public School,Principal,Victoria Thompson,85 Olney Street,,Dorchester,MA,2121,617-635-8832,857-220-3023,"PK,K,01,02,03,04,05","85 Olney Street, Dorchester, MA","(42.306163100000006, -71.0735651796376)",42.306163100000006,-71.0735651796376
Boston: Warren-Prescott K-8 School,350346,Public School,Principal,Michele Davis,50 School Street,,Charlestown,MA,2129,617-635-8346,617-635-9454,"PK,K,01,02,03,04,05,06,07,08","50 School Street, Charlestown, MA","(42.37792245, -71.06450332836786)",42.37792245,-71.06450332836786
Boston: West Zone Early Learning Center,350006,Public School,Principal,Stacia Lemond,200 Heath Street,,Jamaica Plain,MA,2130,617-635-8275,617-635-9370,"PK,K,01","200 Heath Street, Jamaica Plain, MA","(42.326114450000006, -71.10674285895824)",42.326114450000006,-71.10674285895824
Boston: Winship Elementary School,350374,Public School,Principal,Brian Radley,54 Dighton Street,,Brighton,MA,2135,617-635-8399,617-635-8403,"PK,K,01,02,03,04,05,06","54 Dighton Street, Brighton, MA","(42.347503200000006, -71.15538442866122)",42.347503200000006,-71.15538442866122
Boston: Winthrop Elementary School,350180,Public School,Principal,Leah Blake,35 Brookford Street,,Dorchester,MA,2125,617-635-8379,617-635-9396,"PK,K,01,02,03,04,05,06","35 Brookford Street, Dorchester, MA","(42.3181026, -71.0757306)",42.3181026,-71.0757306
Boston: Young Achievers K-8 School,350380,Public School,Principal,Jodi Fortuna,20 Outlook Road,,Mattapan,MA,2126,617-635-6804,617-635-6811,"PK,K,01,02,03,04,05,06,07,08","20 Outlook Road, Mattapan, MA","(42.28232935, -71.09517490375323)",42.28232935,-71.09517490375323
Boston Collegiate Charter (District): Boston Collegiate Charter School,4490305,Charter School,Principal,Jenna Ogundipe,215 Mayhew Street,,Dorchester,MA,2125,617-265-1172,617-265-1176,"05,06,07,08,09,10,11,12","215 Mayhew Street, Dorchester, MA","(42.321589, -71.059874)",42.321589,-71.059874
Boston Day and Evening Academy Charter (District): Boston Day and Evening Academy Charter School,4240505,Charter School,Principal,Alison Hramiec,20 Kearsarge Ave,,Roxbury,MA,2119,617-635-6789,617-635-6380,"09,10,11,12","20 Kearsarge Ave, Roxbury, MA","(42.32701325, -71.0817730970007)",42.32701325,-71.0817730970007
Boston Green Academy Horace Mann Charter School (District): Boston Green Academy Horace Mann Charter School,4110305,Charter School,Principal,Matthew Holzer,20 Warren St.,,Brighton,MA,2135,617-635-9860,617-635-9858,"06,07,08,09,10,11,12","20 Warren St., Brighton, MA","(42.3500616, -71.1454645)",42.3500616,-71.1454645
Boston Preparatory Charter Public (District): Boston Preparatory Charter Public School,4160305,Charter School,Principal,Meekerley Sanon,885 River Street,,Hyde Park,MA,2136,617-333-6688,617-333-6689,"06,07,08,09,10,11,12","885 River Street, Hyde Park, MA","(42.26215715, -71.11032116326963)",42.26215715,-71.11032116326963
Boston Renaissance Charter Public (District): Boston Renaissance Charter Public School,4810550,Charter School,Principal,Alexandra Banhares-Buckmire,1415 Hyde Park Ave,,Hyde Park,MA,2136,617-357-0900,617-357-0949,"PK,K,01,02,03,04,05,06","1415 Hyde Park Ave, Hyde Park, MA","(42.2505157, -71.1263896)",42.2505157,-71.1263896
Bridge Boston Charter School (District): Bridge Boston Charter School,4170205,Charter School,Principal,Orin Gutlerner,435 Warren St.,,Roxbury,MA,2119,857-229-1601,617-674-0861,"PK,K,01,02,03,04,05,06,07,08","435 Warren St., Roxbury, MA","(42.31682225, -71.0832120417672)",42.31682225,-71.0832120417672
KIPP Academy Boston Charter School (District): KIPP Academy Boston Charter School,4630205,Charter School,Principal,Rhonda Barnes,37 Babson Street,KIPP Academy Boston,Mattapan,MA,2126,617-393-5682,617-652-7461,"K,01,02,03,04,05,06,07,08","37 Babson Street, Mattapan, MA","(42.2746633, -71.09258892345918)",42.2746633,-71.09258892345918
UP Academy Charter School of Boston (District): UP Academy Charter School of Boston,4800405,Charter School,Principal,James Frier,215 Dorchester Street,,South Boston,MA,2127,617-635-8819,617-635-8820,"06,07,08","215 Dorchester Street, South Boston, MA","(42.333728300000004, -71.05090619565084)",42.333728300000004,-71.05090619565084
