INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location,streetlights_within_10_m
202014315,1402,,VANDALISM,E18,940,1,2020-02-21 21:41:00,2020,2,Friday,21,,GARFIELD AVE,42.2436188250818,-71.1198925529802,"(42.2436188250818, -71.1198925529802)",0
202014328,3114,,INVESTIGATE PROPERTY,E18, ,1,2020-02-21 21:41:00,2020,2,Friday,21,,"DANA AVE & BOW ST
HYDE PARK  MA 02136
UNITED STATE",42.2449269856831,-71.1172069498797,"(42.2449269856831, -71.1172069498797)",0
202014803,1402,,VANDALISM,C11,357,1,2020-02-23 22:03:00,2020,2,Sunday,22,,GENEVA AVE,42.2997968951833,-71.0653345722669,"(42.2997968951833, -71.0653345722669)",0
202014842,3114,,INVESTIGATE PROPERTY,C11,450,1,2020-02-24 04:35:00,2020,2,Monday,4,,WASHINGTON ST,42.2905750381038,-71.0716572613596,"(42.2905750381038, -71.0716572613596)",2
202015077,111,,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",B3,476,1,2020-02-24 20:22:00,2020,2,Monday,20,,"740 BLUE HILL AVE
DORCHESTER  MA 02121
UNITED STAT",42.2753650108352,-71.0903609884968,"(42.2753650108352, -71.0903609884968)",0
202015140,423,,ASSAULT - AGGRAVATED,E18,289,1,2020-02-25 02:10:00,2020,2,Tuesday,2,,FRAZER ST,42.2630792838793,-71.1093853640433,"(42.2630792838793, -71.1093853640433)",0
202015695,423,,ASSAULT - AGGRAVATED,B2, ,1,2020-02-26 21:22:00,2020,2,Wednesday,21,,"WARREN ST & ZEIGLER ST
BOSTON  MA 02119
UNITED STA",42.3293890302896,-71.0833480088446,"(42.3293890302896, -71.0833480088446)",1
202016001,3114,,INVESTIGATE PROPERTY,B3,417,1,2020-02-27 22:19:00,2020,2,Thursday,22,,MORA ST,42.2820819767197,-71.0736487451565,"(42.2820819767197, -71.0736487451565)",0
202016272,2662,,BALLISTICS EVIDENCE/FOUND,B2,328,1,2020-02-28 20:25:00,2020,2,Friday,20,,MAGNOLIA ST,42.3108684220469,-71.0742585444523,"(42.3108684220469, -71.0742585444523)",1
202016323,2662,,BALLISTICS EVIDENCE/FOUND,B3,418,1,2020-02-29 02:33:00,2020,2,Saturday,2,,MILTON AVE,42.2813425211613,-71.0758488429439,"(42.2813425211613, -71.0758488429439)",1
202016342,2662,,BALLISTICS EVIDENCE/FOUND,B2,279,1,2020-02-29 03:33:00,2020,2,Saturday,3,,"DUDLEY ST & HARRISON AVE
ROXBURY  MA 02119
UNITED ",42.3285970215977,-71.0827470551228,"(42.3285970215977, -71.0827470551228)",0
202016337,2662,,BALLISTICS EVIDENCE/FOUND,B2, ,1,2020-02-29 03:43:00,2020,2,Saturday,3,,"RUTHVEN ST & HAROLD ST
ROXBURY  MA 02121
UNITED ST",42.3136639956734,-71.0920290071491,"(42.3136639956734, -71.0920290071491)",0
202016334,3114,,INVESTIGATE PROPERTY,B2,315,1,2020-02-29 03:45:00,2020,2,Saturday,3,,HOWLAND ST,42.313247595766,-71.086926029566,"(42.313247595766, -71.086926029566)",1
202017150,3114,,INVESTIGATE PROPERTY,B3,450,1,2020-03-03 01:08:00,2020,3,Tuesday,1,,TALBOT AVE,42.2907214195724,-71.0737338518411,"(42.2907214195724, -71.0737338518411)",2
202017401,423,,ASSAULT - AGGRAVATED,C11,257,1,2020-03-03 21:12:00,2020,3,Tuesday,21,,HANCOCK ST,42.313193819904,-71.0650083285478,"(42.313193819904, -71.0650083285478)",0
202017430,423,,ASSAULT - AGGRAVATED,B2,257,1,2020-03-03 23:25:00,2020,3,Tuesday,23,,STOUGHTON ST,42.3166174973565,-71.0640782725732,"(42.3166174973565, -71.0640782725732)",2
202018367,2662,,BALLISTICS EVIDENCE/FOUND,B3,453,1,2020-03-07 04:08:00,2020,3,Saturday,4,,ALGONQUIN ST,42.2974241140628,-71.0753135753807,"(42.2974241140628, -71.0753135753807)",0
202018597,3114,,INVESTIGATE PROPERTY,C11,346,1,2020-03-08 00:02:00,2020,3,Sunday,0,,MOUNT IDA RD,42.3048048823911,-71.0642142605699,"(42.3048048823911, -71.0642142605699)",1
202018818,3114,,INVESTIGATE PROPERTY,E18,481,1,2020-03-08 21:21:00,2020,3,Sunday,21,,RIVER ST,42.2663300406748,-71.0974644672687,"(42.2663300406748, -71.0974644672687)",0
202019441,2660,,OTHER OFFENSE,A7,17,1,2020-03-10 22:33:00,2020,3,Tuesday,22,,"SARATOGA ST & SHELBY ST
EAST BOSTON  MA 02128
UNIT",42.3799589629524,-71.0273319481008,"(42.3799589629524, -71.0273319481008)",0
202019444,3114,,INVESTIGATE PROPERTY,C11,357,1,2020-03-10 23:02:00,2020,3,Tuesday,23,,DAKOTA ST,42.2993850916938,-71.0697886522695,"(42.2993850916938, -71.0697886522695)",1
202019462,3114,,INVESTIGATE PROPERTY,C6,256,1,2020-03-11 01:18:00,2020,3,Wednesday,1,,WILLIAM T MORRISSEY BLVD,42.3192852280245,-71.0502716742169,"(42.3192852280245, -71.0502716742169)",0
202019464,3005,,SICK ASSIST,B2,298,1,2020-03-11 01:46:00,2020,3,Wednesday,1,,REGENT ST,42.3225590314026,-71.0881719356666,"(42.3225590314026, -71.0881719356666)",1
202019731,423,,ASSAULT - AGGRAVATED,E13,912,1,2020-03-12 02:00:00,2020,3,Thursday,2,,CENTRE ST,42.2933915069556,-71.0629439988011,"(42.2933915069556, -71.0629439988011)",0
202020260,2662,,BALLISTICS EVIDENCE/FOUND,B3,427,1,2020-03-13 22:06:00,2020,3,Friday,22,,BABSON ST,42.2749166279877,-71.0922044414973,"(42.2749166279877, -71.0922044414973)",0
202020285,3114,,INVESTIGATE PROPERTY,B3,429,1,2020-03-14 01:11:00,2020,3,Saturday,1,,WINSTON RD,42.2850880872322,-71.0878946233987,"(42.2850880872322, -71.0878946233987)",1
202020288,2662,,BALLISTICS EVIDENCE/FOUND,B3, ,1,2020-03-14 01:50:00,2020,3,Saturday,1,,MOUNTAIN AVE,42.2865018549257,-71.0856653789179,"(42.2865018549257, -71.0856653789179)",1
202020791,3114,,INVESTIGATE PROPERTY,B3,470,1,2020-03-16 03:22:00,2020,3,Monday,3,,ALABAMA ST,42.2781698374421,-71.0999091195849,"(42.2781698374421, -71.0999091195849)",0
202021439,423,,ASSAULT - AGGRAVATED,B2,266,1,2020-03-19 00:28:00,2020,3,Thursday,0,,MOUNT PLEASANT AVE,42.326357596179,-71.0788630110027,"(42.326357596179, -71.0788630110027)",1
202021628,3114,,INVESTIGATE PROPERTY,B2,328,1,2020-03-19 21:30:00,2020,3,Thursday,21,,COLEUS PARK,42.3102583623558,-71.0758722911341,"(42.3102583623558, -71.0758722911341)",1
202021807,111,,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",B3,289,1,2020-03-20 20:33:00,2020,3,Friday,20,,AMERICAN LEGION HWY,42.2973852369678,-71.0900571627786,"(42.2973852369678, -71.0900571627786)",1
202021813,3114,,INVESTIGATE PROPERTY,B2,901,1,2020-03-20 20:56:00,2020,3,Friday,20,,PARKER ST,42.3333479545132,-71.0960227573456,"(42.3333479545132, -71.0960227573456)",2
202021861,3114,,INVESTIGATE PROPERTY,C11,357,1,2020-03-21 00:41:00,2020,3,Saturday,0,,WASHINGTON ST,42.2974533941774,-71.0725342496612,"(42.2974533941774, -71.0725342496612)",2
202021872,423,,ASSAULT - AGGRAVATED,E13,916,1,2020-03-21 02:36:00,2020,3,Saturday,2,,BICKFORD ST,42.3248330126095,-71.1016475723101,"(42.3248330126095, -71.1016475723101)",2
202022078,3114,,INVESTIGATE PROPERTY,B2,316,1,2020-03-21 21:54:00,2020,3,Saturday,21,,HAROLD ST,42.3133111376558,-71.0923151671879,"(42.3133111376558, -71.0923151671879)",0
202022119,3114,,INVESTIGATE PROPERTY,B3,445,1,2020-03-22 05:46:00,2020,3,Sunday,5,,HARVARD ST,42.2965846247152,-71.0795077281488,"(42.2965846247152, -71.0795077281488)",0
202022754,3114,,INVESTIGATE PROPERTY,B3,469,1,2020-03-24 22:10:00,2020,3,Tuesday,22,,ALMONT ST,42.2752767031409,-71.0955424537511,"(42.2752767031409, -71.0955424537511)",0
202022790,3114,,INVESTIGATE PROPERTY,E13,572,1,2020-03-24 23:18:00,2020,3,Tuesday,23,,COLUMBUS AVE,42.3140847692364,-71.0962412565086,"(42.3140847692364, -71.0962412565086)",1
202023184,3114,,INVESTIGATE PROPERTY,B3,432,1,2020-03-26 20:21:00,2020,3,Thursday,20,,MASCOT ST,42.2863359613714,-71.085001494274,"(42.2863359613714, -71.085001494274)",1
202023186,3114,,INVESTIGATE PROPERTY,B2,266,1,2020-03-26 21:05:00,2020,3,Thursday,21,,MOUNT PLEASANT AVE,42.3249130699933,-71.0767716966819,"(42.3249130699933, -71.0767716966819)",1
202023201,3114,,INVESTIGATE PROPERTY,B3, ,1,2020-03-26 22:52:00,2020,3,Thursday,22,,EPPING ST,42.2897859221334,-71.0720416549542,"(42.2897859221334, -71.0720416549542)",1
202023206,2662,,BALLISTICS EVIDENCE/FOUND,B2,319,1,2020-03-27 00:23:00,2020,3,Friday,0,,ELM HILL AVE,42.3097326879564,-71.0873485191033,"(42.3097326879564, -71.0873485191033)",0
202023213,3114,,INVESTIGATE PROPERTY,C11,355,1,2020-03-27 01:41:00,2020,3,Friday,1,,DORCHESTER AVE,42.2966620162352,-71.0612183646022,"(42.2966620162352, -71.0612183646022)",1
202023408,3114,,INVESTIGATE PROPERTY,D14,778,1,2020-03-27 23:15:00,2020,3,Friday,23,,WASHINGTON ST,42.3002255080535,-71.0746831311047,"(42.3002255080535, -71.0746831311047)",2
202023411,3114,,INVESTIGATE PROPERTY,C11, ,1,2020-03-27 23:30:00,2020,3,Friday,23,,CENTRE ST,42.2919662380276,-71.0658041120121,"(42.2919662380276, -71.0658041120121)",0
202023429,3114,,INVESTIGATE PROPERTY,B2,184,1,2020-03-28 01:09:00,2020,3,Saturday,1,,GROOM ST,42.3201975244605,-71.0664176058317,"(42.3201975244605, -71.0664176058317)",0
202023440,3114,,INVESTIGATE PROPERTY,B2,294,1,2020-03-28 03:40:00,2020,3,Saturday,3,,AKRON ST,42.325794081236,-71.0856375811887,"(42.325794081236, -71.0856375811887)",1
202023605,3114,,INVESTIGATE PROPERTY,C11,823,1,2020-03-28 22:59:00,2020,3,Saturday,22,,"PLEASANT ST & THORNLEY ST
DORCHESTER  MA 02125
UNI",42.3143949641505,-71.0600159626177,"(42.3143949641505, -71.0600159626177)",1
202023602,3114,,INVESTIGATE PROPERTY,C11, ,1,2020-03-28 23:00:00,2020,3,Saturday,23,,"TREADWAY RD
BOSTON  MA 02125
UNITED STATES",42.3132330556661,-71.0581301101671,"(42.3132330556661, -71.0581301101671)",0
202023616,2662,,BALLISTICS EVIDENCE/FOUND,B2, ,1,2020-03-29 01:03:00,2020,3,Sunday,1,,MAGNOLIA ST,42.3145569580846,-71.0717259911502,"(42.3145569580846, -71.0717259911502)",2
202023754,3114,,INVESTIGATE PROPERTY,B3,429,1,2020-03-30 00:20:00,2020,3,Monday,0,,MOUNTAIN AVE,42.2865018549257,-71.0856653789179,"(42.2865018549257, -71.0856653789179)",1
202024207,3114,,INVESTIGATE PROPERTY,C11,344,1,2020-03-31 20:42:00,2020,3,Tuesday,20,,LOUIS D BROWN WAY,42.3009331260919,-71.0693463755203,"(42.3009331260919, -71.0693463755203)",0
202024226,3114,,INVESTIGATE PROPERTY,D14,779,1,2020-03-31 22:10:00,2020,3,Tuesday,22,,MURDOCK ST,42.352946287694,-71.1463868876389,"(42.352946287694, -71.1463868876389)",0
202024228,3114,,INVESTIGATE PROPERTY,E5,941,1,2020-03-31 22:28:00,2020,3,Tuesday,22,,BROOKWAY RD,42.292556174253,-71.1197422502298,"(42.292556174253, -71.1197422502298)",1
202024454,423,,ASSAULT - AGGRAVATED,E13,307,1,2020-04-01 21:20:00,2020,4,Wednesday,21,,COLUMBUS AVE,42.3144664942432,-71.0966146093136,"(42.3144664942432, -71.0966146093136)",1
202024458,2662,,BALLISTICS EVIDENCE/FOUND,D4,626,1,2020-04-01 21:43:00,2020,4,Wednesday,21,,PETERBOROUGH ST,42.343393880355,-71.0984928204013,"(42.343393880355, -71.0984928204013)",2
202024465,3114,,INVESTIGATE PROPERTY,E13,912,1,2020-04-01 22:09:00,2020,4,Wednesday,22,,PARKER ST,42.3246944257683,-71.100879016654,"(42.3246944257683, -71.100879016654)",0
202025078,3114,,INVESTIGATE PROPERTY,C11,361,1,2020-04-04 22:11:00,2020,4,Saturday,22,,CENTRE ST,42.2921432709689,-71.0652277786118,"(42.2921432709689, -71.0652277786118)",0
202025080,3114,,INVESTIGATE PROPERTY,C11,350,1,2020-04-04 22:15:00,2020,4,Saturday,22,,GREENWICH ST,42.3040452508087,-71.05704706084,"(42.3040452508087, -71.05704706084)",0
202025119,3114,,INVESTIGATE PROPERTY,C11,352,1,2020-04-05 03:15:00,2020,4,Sunday,3,,DITSON ST,42.3015337930264,-71.0641662921802,"(42.3015337930264, -71.0641662921802)",1
202025272,1402,,VANDALISM,C11,366,1,2020-04-05 23:51:00,2020,4,Sunday,23,,FLORIDA ST,42.290178297758,-71.0593739184215,"(42.290178297758, -71.0593739184215)",1
202025437,2662,,BALLISTICS EVIDENCE/FOUND,A1, ,1,2020-04-06 20:20:00,2020,4,Monday,20,,"TREMONT ST & TEMPLE PL
BOSTON  MA 02111
UNITED STA",42.355635953823,-71.0628960125741,"(42.355635953823, -71.0628960125741)",1
202025476,3114,,INVESTIGATE PROPERTY,B3,438,1,2020-04-07 03:19:00,2020,4,Tuesday,3,,COLONIAL AVE,42.2904092305906,-71.0769357427754,"(42.2904092305906, -71.0769357427754)",1
202025655,3114,,INVESTIGATE PROPERTY,B3, ,1,2020-04-07 21:03:00,2020,4,Tuesday,21,,TALBOT AVE,42.2938964835748,-71.084515771633,"(42.2938964835748, -71.084515771633)",2
202025670,3114,,INVESTIGATE PROPERTY,B2,300,1,2020-04-07 22:38:00,2020,4,Tuesday,22,,ELLIS ST,42.3236001954488,-71.0922830253825,"(42.3236001954488, -71.0922830253825)",0
202025924,2662,,BALLISTICS EVIDENCE/FOUND,B2,282,1,2020-04-09 01:37:00,2020,4,Thursday,1,,BRUNSWICK ST,42.3108998639234,-71.0800766141243,"(42.3108998639234, -71.0800766141243)",0
202026131,3114,,INVESTIGATE PROPERTY,C11,357,1,2020-04-10 01:54:00,2020,4,Friday,1,,GREENBRIER ST,42.2979765230074,-71.0708924422328,"(42.2979765230074, -71.0708924422328)",1
202026320,423,,ASSAULT - AGGRAVATED,C11,171,1,2020-04-10 21:50:00,2020,4,Friday,21,,"2400 WASHINGTON ST
ROXBURY  MA 02119
UNITED STATES",42.3355595408121,-71.0743636377437,"(42.3355595408121, -71.0743636377437)",1
202026330,3114,,INVESTIGATE PROPERTY,B3,444,1,2020-04-11 00:48:00,2020,4,Saturday,0,,ESMOND ST,42.2986198823693,-71.0851100382665,"(42.2986198823693, -71.0851100382665)",0
202026543,3114,,INVESTIGATE PROPERTY,B3,429,1,2020-04-12 01:57:00,2020,4,Sunday,1,,WILLOWWOOD ST,42.2838599315676,-71.0859909567314,"(42.2838599315676, -71.0859909567314)",0
202026544,1402,,VANDALISM,B2,901,1,2020-04-12 02:36:00,2020,4,Sunday,2,,CORNELIA CT,42.3341799366537,-71.0989099808886,"(42.3341799366537, -71.0989099808886)",1
202026693,1402,,VANDALISM,,572,1,2020-04-13 00:00:00,2020,4,Monday,0,,"71 SCHOOL ST
JAMAICA PLAIN  MA 02119
UNITED STATES",42.3139741822561,-71.098583749231,"(42.3139741822561, -71.098583749231)",1
202027076,301,,ROBBERY,B3,289,1,2020-04-14 20:18:00,2020,4,Tuesday,20,,HARVARD ST,42.2963374240608,-71.0807152747246,"(42.2963374240608, -71.0807152747246)",1
202027311,423,,ASSAULT - AGGRAVATED,E13,906,1,2020-04-15 20:09:00,2020,4,Wednesday,20,,HORAN WAY,42.3256101306791,-71.1044995636378,"(42.3256101306791, -71.1044995636378)",1
202027337,1402,,VANDALISM,E18, ,1,2020-04-15 22:25:00,2020,4,Wednesday,22,,FRAZER ST,42.2628549754897,-71.11181147817,"(42.2628549754897, -71.11181147817)",0
202027368,3805,,M/V ACCIDENT - POLICE VEHICLE,C11,336,1,2020-04-16 06:10:00,2020,4,Thursday,6,,"BOWDOIN ST & OLNEY ST
DORCHESTER  MA 02122
UNITED ",42.3051970353066,-71.0683679517383,"(42.3051970353066, -71.0683679517383)",0
202027551,3114,,INVESTIGATE PROPERTY,B2,267,1,2020-04-17 00:47:00,2020,4,Friday,0,,VINE AVE,42.3258917782726,-71.0776674733021,"(42.3258917782726, -71.0776674733021)",0
202027743,3114,,INVESTIGATE PROPERTY,B2,321,1,2020-04-17 22:04:00,2020,4,Friday,22,,BLUE HILL AVE,42.3105454447348,-71.0817932830829,"(42.3105454447348, -71.0817932830829)",2
202027761,3115,,INVESTIGATE PERSON,E18,484,1,2020-04-18 00:34:00,2020,4,Saturday,0,,RIVER ST,42.2634214112805,-71.1030607799546,"(42.2634214112805, -71.1030607799546)",1
202027916,3114,,INVESTIGATE PROPERTY,E18, ,1,2020-04-19 00:11:00,2020,4,Sunday,0,,"HUNTINGTON AVE & RIVER ST
HYDE PARK  MA 02136
UNIT",42.2611299761301,-71.1136259779247,"(42.2611299761301, -71.1136259779247)",0
202027919,3115,,INVESTIGATE PERSON,E18, ,1,2020-04-19 00:17:00,2020,4,Sunday,0,,"WEST ST & HYDE PARK AVE
BOSTON  MA 02136
UNITED ST",42.2616040183179,-71.1221850436469,"(42.2616040183179, -71.1221850436469)",0
202027931,2662,,BALLISTICS EVIDENCE/FOUND,C11,334,1,2020-04-19 04:00:00,2020,4,Sunday,4,,TOVAR ST,42.3108688417422,-71.0631966056753,"(42.3108688417422, -71.0631966056753)",1
202028084,423,,ASSAULT - AGGRAVATED,B2,901,1,2020-04-19 21:28:00,2020,4,Sunday,21,,TURQUOISE WAY,42.3342674356925,-71.0971345680828,"(42.3342674356925, -71.0971345680828)",1
202028090,1402,,VANDALISM,C6, ,1,2020-04-19 22:01:00,2020,4,Sunday,22,,"E 8TH ST & MERCER ST
BOSTON  MA 02127
UNITED STATE",42.3315099554387,-71.0489980581557,"(42.3315099554387, -71.0489980581557)",0
202028118,3114,,INVESTIGATE PROPERTY,B2, ,1,2020-04-20 02:24:00,2020,4,Monday,2,,"CRAWFORD ST & WALNUT AVE
ROXBURY  MA 02121
UNITED ",42.3169770265115,-71.0916309932412,"(42.3169770265115, -71.0916309932412)",0
202028333,2662,,BALLISTICS EVIDENCE/FOUND,E13, ,1,2020-04-20 23:25:00,2020,4,Monday,23,,"WASHINGTON ST & WALNUT PARK
ROXBURY  MA 02119
UNIT",42.3164029815432,-71.0977019943039,"(42.3164029815432, -71.0977019943039)",2
202028331,3114,,INVESTIGATE PROPERTY,B2,305,1,2020-04-20 23:25:00,2020,4,Monday,23,,"CODMAN PARK & TOWNSEND ST
ROXBURY  MA 02119
UNITED",42.3197549849894,-71.0933330555478,"(42.3197549849894, -71.0933330555478)",1
202028332,3114,,INVESTIGATE PROPERTY,B3,419,1,2020-04-20 23:48:00,2020,4,Monday,23,,FAIRMOUNT ST,42.2793026896971,-71.0792881337127,"(42.2793026896971, -71.0792881337127)",1
202028353,3114,,INVESTIGATE PROPERTY,A1, ,1,2020-04-21 05:37:00,2020,4,Tuesday,5,,"BEVERLY ST & ANTHONY RIP VALENTI WAY
BOSTON  MA 02",42.3648909964569,-71.0589970198441,"(42.3648909964569, -71.0589970198441)",0
202028729,423,,ASSAULT - AGGRAVATED,B2,238,1,2020-04-22 20:20:00,2020,4,Wednesday,20,,HUMPHREYS ST,42.3192051223815,-71.066768028118,"(42.3192051223815, -71.066768028118)",1
202028772,423,,ASSAULT - AGGRAVATED,B2,312,1,2020-04-23 02:58:00,2020,4,Thursday,2,,HOLWORTHY ST,42.3163213058206,-71.0892304970475,"(42.3163213058206, -71.0892304970475)",0
202029156,423,,ASSAULT - AGGRAVATED,E18,519,1,2020-04-24 23:04:00,2020,4,Friday,23,,LINCOLN ST,42.2595176489679,-71.121562991149,"(42.2595176489679, -71.121562991149)",0
202029367,2662,,BALLISTICS EVIDENCE/FOUND,B2, ,1,2020-04-26 00:00:00,2020,4,Sunday,0,,WOODCLIFF ST,42.3159730184034,-71.0769470240181,"(42.3159730184034, -71.0769470240181)",1
202029385,3114,,INVESTIGATE PROPERTY,E18,496,1,2020-04-26 04:17:00,2020,4,Sunday,4,,COLLINS ST,42.270513290466,-71.1198886307617,"(42.270513290466, -71.1198886307617)",0
202029526,1402,,VANDALISM,B3,447,1,2020-04-26 21:47:00,2020,4,Sunday,21,,MILLET ST,42.2952852916937,-71.0774052165879,"(42.2952852916937, -71.0774052165879)",1
202029717,423,,ASSAULT - AGGRAVATED,B2,315,1,2020-04-27 21:07:00,2020,4,Monday,21,,HOWLAND ST,42.313247595766,-71.086926029566,"(42.313247595766, -71.086926029566)",1
202029940,3114,,INVESTIGATE PROPERTY,B3, ,1,2020-04-28 20:59:00,2020,4,Tuesday,20,,BALLOU AVE,42.2855541281477,-71.0824562289942,"(42.2855541281477, -71.0824562289942)",0
202029958,3114,,INVESTIGATE PROPERTY,B2,332,1,2020-04-28 22:28:00,2020,4,Tuesday,22,,"COLUMBIA RD & HANCOCK ST
DORCHESTER  MA 02125
UNIT",42.3157800257411,-71.0663990495994,"(42.3157800257411, -71.0663990495994)",0
202029980,3114,,INVESTIGATE PROPERTY,D14,759,1,2020-04-29 02:39:00,2020,4,Wednesday,2,,BROOKS ST,42.3539001455032,-71.1629594343934,"(42.3539001455032, -71.1629594343934)",0
202030421,2662,,BALLISTICS EVIDENCE/FOUND,B3,432,1,2020-04-30 21:20:00,2020,4,Thursday,21,,CALLENDER ST,42.2877257570494,-71.0859233689477,"(42.2877257570494, -71.0859233689477)",0
202030848,1501,,WEAPON VIOLATION - CARRY/ POSSESSING/ SALE/ TRAFFICKING/ OTHER,B2,289,1,2020-05-02 00:00:00,2020,5,Saturday,0,,E COTTAGE ST,42.3210349256418,-71.0634892632256,"(42.3210349256418, -71.0634892632256)",0
202030860,2662,,BALLISTICS EVIDENCE/FOUND,B2, ,1,2020-05-02 20:21:00,2020,5,Saturday,20,,"WASHINGTON ST & CRISPUS ATTUCKS PL
ROXBURY  MA 021",42.3251499592043,-71.0881610522209,"(42.3251499592043, -71.0881610522209)",0
202030888,3115,,INVESTIGATE PERSON,D14, ,1,2020-05-02 23:20:00,2020,5,Saturday,23,,COMMONWEALTH AVE,42.3390646988359,-71.1564279535138,"(42.3390646988359, -71.1564279535138)",1
202030889,423,,ASSAULT - AGGRAVATED,C11,344,1,2020-05-02 23:55:00,2020,5,Saturday,23,,CORONA ST,42.3014619779032,-71.0689596045852,"(42.3014619779032, -71.0689596045852)",0
202030912,3114,,INVESTIGATE PROPERTY,B2,316,1,2020-05-03 04:47:00,2020,5,Sunday,4,,HOMESTEAD ST,42.3124213232887,-71.0915490205352,"(42.3124213232887, -71.0915490205352)",0
202031077,423,,ASSAULT - AGGRAVATED,B3,421,1,2020-05-03 20:50:00,2020,5,Sunday,20,,"95 MORTON VILLAGE DR
MATTAPAN  MA 02126
UNITED STA",42.2802435212006,-71.0848150924114,"(42.2802435212006, -71.0848150924114)",0
202031103,111,,"MURDER, NON-NEGLIGIENT MANSLAUGHTER",B2,289,1,2020-05-03 22:38:00,2020,5,Sunday,22,,KENSINGTON PARK,42.3217134867917,-71.0826082207054,"(42.3217134867917, -71.0826082207054)",0
202031131,2662,,BALLISTICS EVIDENCE/FOUND,B3,456,1,2020-05-04 05:22:00,2020,5,Monday,5,,FOWLER ST,42.3008593108693,-71.0812880775293,"(42.3008593108693, -71.0812880775293)",1
202031348,3114,,INVESTIGATE PROPERTY,B2,320,1,2020-05-04 22:57:00,2020,5,Monday,22,,CRAWFORD ST,42.3109695275105,-71.0846183567016,"(42.3109695275105, -71.0846183567016)",1
202031375,1402,,VANDALISM,D4,285,1,2020-05-05 04:11:00,2020,5,Tuesday,4,,HAMMOND ST,42.3359544903955,-71.0830137274314,"(42.3359544903955, -71.0830137274314)",2
202031373,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B2,307,1,2020-05-05 04:32:00,2020,5,Tuesday,4,,COBDEN ST,42.316709860007,-71.09372605792,"(42.316709860007, -71.09372605792)",1
202031838,3114,,INVESTIGATE PROPERTY,B2,312,1,2020-05-07 06:47:00,2020,5,Thursday,6,,HUMBOLDT AVE,42.3152113376616,-71.0878359242823,"(42.3152113376616, -71.0878359242823)",0
202031995,1402,,VANDALISM,B2, ,1,2020-05-07 22:18:00,2020,5,Thursday,22,,SAINT JAMES ST,42.3268544953514,-71.0861966066257,"(42.3268544953514, -71.0861966066257)",2
202032237,3114,,INVESTIGATE PROPERTY,B3,446,1,2020-05-09 01:34:00,2020,5,Saturday,1,,SHAFTER ST,42.2989533642045,-71.0768587023364,"(42.2989533642045, -71.0768587023364)",1
202032426,3114,,INVESTIGATE PROPERTY,C11, ,1,2020-05-09 22:22:00,2020,5,Saturday,22,,"WILLIS ST & PLEASANT ST
DORCHESTER  MA 02125
UNITE",42.3177919761998,-71.0590540181255,"(42.3177919761998, -71.0590540181255)",0
202032452,3114,,INVESTIGATE PROPERTY,C11,362,1,2020-05-10 00:01:00,2020,5,Sunday,0,,MELVILLE AVE,42.2933899253147,-71.0715574485293,"(42.2933899253147, -71.0715574485293)",0
202032603,2662,,BALLISTICS EVIDENCE/FOUND,B2,299,1,2020-05-10 22:26:00,2020,5,Sunday,22,,FENWICK PL,42.3241601526672,-71.0873287288304,"(42.3241601526672, -71.0873287288304)",0
202032619,3114,,INVESTIGATE PROPERTY,B2, ,1,2020-05-11 00:20:00,2020,5,Monday,0,,DUDLEY ST,42.3285352863854,-71.0821387373013,"(42.3285352863854, -71.0821387373013)",1
202032633,3114,,INVESTIGATE PROPERTY,B3,437,1,2020-05-11 03:49:00,2020,5,Monday,3,,DARLINGTON ST,42.2892782618054,-71.0758149331198,"(42.2892782618054, -71.0758149331198)",1
202032888,3114,,INVESTIGATE PROPERTY,B3,428,1,2020-05-12 02:16:00,2020,5,Tuesday,2,,"BLUE HILL AVE & GOODALE RD
MATTAPAN  MA 02126
UNIT",42.2823889693299,-71.0919450534141,"(42.2823889693299, -71.0919450534141)",1
202033300,3114,,INVESTIGATE PROPERTY,B3, ,1,2020-05-13 20:34:00,2020,5,Wednesday,20,,MORTON ST,42.28329073779,-71.0891630674466,"(42.28329073779, -71.0891630674466)",0
202033304,2662,,BALLISTICS EVIDENCE/FOUND,B3, ,1,2020-05-13 21:15:00,2020,5,Wednesday,21,,HARVARD ST,42.2966912359869,-71.0789575685199,"(42.2966912359869, -71.0789575685199)",1
202033320,423,,ASSAULT - AGGRAVATED,C6,915,1,2020-05-13 22:59:00,2020,5,Wednesday,22,,COLUMBIA RD,42.3303689004022,-71.0486576972912,"(42.3303689004022, -71.0486576972912)",0
202033321,3114,,INVESTIGATE PROPERTY,B2, ,1,2020-05-13 23:21:00,2020,5,Wednesday,23,,"BLUE HILL AVE & BRUNSWICK ST
ROXBURY  MA 02121
UNI",42.3113689648722,-71.0811449694417,"(42.3113689648722, -71.0811449694417)",0
202033325,3114,,INVESTIGATE PROPERTY,C11,357,1,2020-05-13 23:55:00,2020,5,Wednesday,23,,"DAKOTA ST & GREENBRIER ST
DORCHESTER  MA 02124
UNI",42.2989330407954,-71.0713819813658,"(42.2989330407954, -71.0713819813658)",0
