Org Name,Org Code,Org Type,Function,Contact Name,Address 1,Address 2,Town,State,Zip,Phone,Fax,Grade,location,coordinates,lat,lon
Boston: Tynan Elementary School,350181,Public School,Principal,Leslie Gant,650 E. Fourth Street,,South Boston,MA,2127,617-635-8641,617-635-9758,"PK,K,01,02,03,04,05,06","650 E. Fourth Street, South Boston, MA","(42.33469235, -71.03903232504135)",42.33469235,-71.03903232504135
Boston: UP Academy Holland,350167,Public School,Principal,Victoria Thompson,85 Olney Street,,Dorchester,MA,2121,617-635-8832,857-220-3023,"PK,K,01,02,03,04,05","85 Olney Street, Dorchester, MA","(42.306163100000006, -71.0735651796376)",42.306163100000006,-71.0735651796376
Boston: Warren-Prescott K-8 School,350346,Public School,Principal,Michele Davis,50 School Street,,Charlestown,MA,2129,617-635-8346,617-635-9454,"PK,K,01,02,03,04,05,06,07,08","50 School Street, Charlestown, MA","(42.37792245, -71.06450332836786)",42.37792245,-71.06450332836786
Boston: West Zone Early Learning Center,350006,Public School,Principal,Stacia Lemond,200 Heath Street,,Jamaica Plain,MA,2130,617-635-8275,617-635-9370,"PK,K,01","200 Heath Street, Jamaica Plain, MA","(42.326114450000006, -71.10674285895824)",42.326114450000006,-71.10674285895824
Boston: Winship Elementary School,350374,Public School,Principal,Brian Radley,54 Dighton Street,,Brighton,MA,2135,617-635-8399,617-635-8403,"PK,K,01,02,03,04,05,06","54 Dighton Street, Brighton, MA","(42.347503200000006, -71.15538442866122)",42.347503200000006,-71.15538442866122
Boston: Winthrop Elementary School,350180,Public School,Principal,Leah Blake,35 Brookford Street,,Dorchester,MA,2125,617-635-8379,617-635-9396,"PK,K,01,02,03,04,05,06","35 Brookford Street, Dorchester, MA","(42.3181026, -71.0757306)",42.3181026,-71.0757306
Boston: Young Achievers K-8 School,350380,Public School,Principal,Jodi Fortuna,20 Outlook Road,,Mattapan,MA,2126,617-635-6804,617-635-6811,"PK,K,01,02,03,04,05,06,07,08","20 Outlook Road, Mattapan, MA","(42.28232935, -71.09517490375323)",42.28232935,-71.09517490375323
Boston Collegiate Charter (District): Boston Collegiate Charter School,4490305,Charter School,Principal,Jenna Ogundipe,215 Mayhew Street,,Dorchester,MA,2125,617-265-1172,617-265-1176,"05,06,07,08,09,10,11,12","215 Mayhew Street, Dorchester, MA","(42.321589, -71.059874)",42.321589,-71.059874
Boston Day and Evening Academy Charter (District): Boston Day and Evening Academy Charter School,4240505,Charter School,Principal,Alison Hramiec,20 Kearsarge Ave,,Roxbury,MA,2119,617-635-6789,617-635-6380,"09,10,11,12","20 Kearsarge Ave, Roxbury, MA","(42.32701325, -71.0817730970007)",42.32701325,-71.0817730970007
Boston Green Academy Horace Mann Charter School (District): Boston Green Academy Horace Mann Charter School,4110305,Charter School,Principal,Matthew Holzer,20 Warren St.,,Brighton,MA,2135,617-635-9860,617-635-9858,"06,07,08,09,10,11,12","20 Warren St., Brighton, MA","(42.3500616, -71.1454645)",42.3500616,-71.1454645
Boston Preparatory Charter Public (District): Boston Preparatory Charter Public School,4160305,Charter School,Principal,Meekerley Sanon,885 River Street,,Hyde Park,MA,2136,617-333-6688,617-333-6689,"06,07,08,09,10,11,12","885 River Street, Hyde Park, MA","(42.26215715, -71.11032116326963)",42.26215715,-71.11032116326963
Boston Renaissance Charter Public (District): Boston Renaissance Charter Public School,4810550,Charter School,Principal,Alexandra Banhares-Buckmire,1415 Hyde Park Ave,,Hyde Park,MA,2136,617-357-0900,617-357-0949,"PK,K,01,02,03,04,05,06","1415 Hyde Park Ave, Hyde Park, MA","(42.2505157, -71.1263896)",42.2505157,-71.1263896
Bridge Boston Charter School (District): Bridge Boston Charter School,4170205,Charter School,Principal,Orin Gutlerner,435 Warren St.,,Roxbury,MA,2119,857-229-1601,617-674-0861,"PK,K,01,02,03,04,05,06,07,08","435 Warren St., Roxbury, MA","(42.31682225, -71.0832120417672)",42.31682225,-71.0832120417672
Brooke Charter School (District): Brooke Charter School,4280305,Charter School,Principal,Jon Clark,190 Cummins Highway,,Roslindale,MA,2131,617-325-7977,617-325-2260,"K,01,02,03,04,05,06,07,08,09,10,11,12","190 Cummins Highway, Roslindale, MA","(42.2819806, -71.12162993010308)",42.2819806,-71.12162993010308
Brookline: Edith C Baker,460005,Public School,Principal,Torrance Lewis,205 Beverly Rd,,Chestnut Hill,MA,2467,617-879-4500,617-879-4505,"K,01,02,03,04,05,06,07,08","205 Beverly Rd, Chestnut Hill, MA","(42.30343895, -71.15878983049122)",42.30343895,-71.15878983049122
Canton: Canton High,500505,Public School,Principal,Jeffrey Sperling,900 Washington Street,,Canton,MA,2021,781-821-5050,781-821-5052,"09,10,11,12","900 Washington Street, Canton, MA","(42.1661253, -71.14850395052244)",42.1661253,-71.14850395052244
Canton: Dean S Luce,500020,Public School,Principal,Yeshi Lamour,45 Independence St,,Canton,MA,2021,781-821-5075,781-575-6528,"K,01,02,03,04,05","45 Independence St, Canton, MA","(42.160641, -71.13318003688077)",42.160641,-71.13318003688077
Canton: John F Kennedy,500017,Public School,Principal,Saundra Watson,100 Dedham Street,,Canton,MA,2021,781-821-5080,781-575-6543,"K,01,02,03,04,05","100 Dedham Street, Canton, MA","(42.17451255, -71.14441724683198)",42.17451255,-71.14441724683198
Canton: Lt Peter M Hansen,500012,Public School,Principal,David Brauninger,25 Pecunit Street,,Canton,MA,2021,781-821-5085,781-575-6552,"K,01,02,03,04,05","25 Pecunit Street, Canton, MA","(42.1834349, -71.12925836529385)",42.1834349,-71.12925836529385
Canton: Rodman Early Childhood Center,500010,Public School,Principal,Donna Kilday,960 Washington Street,,Canton,MA,2021,781-821-5060,781-575-6500,PK,"960 Washington Street, Canton, MA","(42.1619835, -71.1436603)",42.1619835,-71.1436603
Canton: Wm H Galvin Middle,500305,Public School,Principal,Jonathan Mulhern,55 Pecunit Street,,Canton,MA,2021,781-821-5070,781-575-6509,"06,07,08","55 Pecunit Street, Canton, MA","(42.18587875, -71.13172346528904)",42.18587875,-71.13172346528904
City on a Hill Charter Public School (District): City on a Hill Charter Public School,4370505,Charter School,Principal,Laura Tobias,58 Circuit Street,,Roxbury,MA,2119,617-445-1515,617-445-9153,"09,10,11,12","58 Circuit Street, Roxbury, MA","(42.32398525, -71.08773878053948)",42.32398525,-71.08773878053948
Codman Academy Charter Public (District): Codman Academy Charter Public School,4380505,Charter School,Principal,Pamela Casna,637 Washington Street,,Dorchester,MA,2124,617-287-0700,617-287-9064,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12","637 Washington Street, Dorchester, MA","(42.289504, -71.07148570588235)",42.289504,-71.07148570588235
Conservatory Lab Charter (District): Conservatory Lab Charter School,4390050,Charter School,Principal,Nicole Mack,395 Columbia Rd,,Dorchester,MA,2125,617-254-8904,617-254-8908,"PK,K,01,02,03,04,05,06,07,08","395 Columbia Rd, Dorchester, MA","(42.311747683869775, -71.06974263453964)",42.311747683869775,-71.06974263453964
Dedham: Avery,730010,Public School,Principal,Edward Paris,336 High Street,,Dedham,MA,2026,781-310-5000,781-326-5899,"01,02,03,04,05","336 High Street, Dedham, MA","(42.24813566666666, -71.161884)",42.24813566666666,-71.161884
Dedham: Dedham High,730505,Public School,Principal,James Forrest,140 Whiting Avenue,,Dedham,MA,2026,781-310-1100,781-320-8126,"09,10,11,12","140 Whiting Avenue, Dedham, MA","(42.24522766730888, -71.16221127349151)",42.24522766730888,-71.16221127349151
Dedham: Dedham Middle School,730305,Public School,Principal,Karen Hillman,70 Whiting Avenue,,Dedham,MA,2026,781-310-7000,781-461-0354,"06,07,08","70 Whiting Avenue, Dedham, MA","(42.2445037, -71.16624768622509)",42.2445037,-71.16624768622509
Dedham: Early Childhood Center,730005,Public School,Principal,Kimberly Taylor,1100 High Street,,Dedham,MA,2026,781-310-8000,781-326-6445,"PK,K","1100 High Street, Dedham, MA","(42.24579035, -71.19394037274199)",42.24579035,-71.19394037274199
Dedham: Greenlodge,730025,Public School,Principal,Jennifer Mcgowan,191 Greenlodge Street,,Dedham,MA,2026,781-310-4000,781-461-0034,"01,02,03,04,05","191 Greenlodge Street, Dedham, MA","(42.22484975, -71.15585463459794)",42.22484975,-71.15585463459794
Dedham: Oakdale,730030,Public School,Principal,Kimberly Hermesch,147 Cedar Street,,Dedham,MA,2026,781-310-6000,781-320-8915,"01,02,03,04,05","147 Cedar Street, Dedham, MA","(42.2387148, -71.15464176232227)",42.2387148,-71.15464176232227
Dedham: Riverdale,730045,Public School,Principal,Dana Bennett,143 Needham Street,,Dedham,MA,2026,781-310-2000,781-251-0732,"01,02,03,04,05","143 Needham Street, Dedham, MA","(42.27016465, -71.1803074860036)",42.27016465,-71.1803074860036
Dudley Street Neighborhood Charter School (District): Dudley Street Neighborhood Charter School,4070405,Charter School,Principal,Elijah Heckstall,6 Shirley Street,,Boston,MA,2119,617-227-8055,--,"PK,K,01,02,03,04,05","6 Shirley Street, Boston, MA","(42.3234921, -71.072836)",42.3234921,-71.072836
Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School (District): Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School,4520505,Charter School,Principal,Caren Walker Gregory,10 Fenwood Road,,Boston,MA,2115,617-635-8450,617-635-8452,"09,10,11,12","10 Fenwood Road, Boston, MA","(42.3339289, -71.10633874946579)",42.3339289,-71.10633874946579
Excel Academy Charter (District): Excel Academy Charter School,4100205,Charter School,Principal,Owen Stearns,58 Moore Street,,East Boston,MA,2128,617-874-4080,617-674-3436,"05,06,07,08,09,10,11,12","58 Moore Street, East Boston, MA","(42.383033, -71.018826)",42.383033,-71.018826
Helen Y. Davis Leadership Academy Charter Public (District): Helen Y. Davis Leadership Academy Charter Public School,4190305,Charter School,Principal,Arturo Forrest,23 Leonard Street,,Boston,MA,2122,617-474-7950,617-474-7957,"06,07,08","23 Leonard Street, Boston, MA","(42.30128135, -71.05872795808364)",42.30128135,-71.05872795808364
Institutional Schools: Pappas Rehabilitation Hospital for Children,3700026,Public School,Principal,Shawn Connelly,3 Randolph Street,,Canton,MA,2021,781-338-3305,--,"01,02,03,04,05,06,07,08,09,10,11,12","3 Randolph Street, Canton, MA","(42.1745761, -71.12345566205761)",42.1745761,-71.12345566205761
KIPP Academy Boston Charter School (District): KIPP Academy Boston Charter School,4630205,Charter School,Principal,Rhonda Barnes,37 Babson Street,KIPP Academy Boston,Mattapan,MA,2126,617-393-5682,617-652-7461,"K,01,02,03,04,05,06,07,08","37 Babson Street, Mattapan, MA","(42.2746633, -71.09258892345918)",42.2746633,-71.09258892345918
Match Charter Public School (District): Match Charter Public School,4690505,Charter School,Principal,Joseph Gallagher,1001 Commonwealth Avenue,,Boston,MA,2215,617-232-0300,617-232-2838,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12","1001 Commonwealth Avenue, Boston, MA","(42.3521128, -71.1209974)",42.3521128,-71.1209974
Milton: Charles S Pierce Middle,1890410,Public School,Principal,William Fish,451 Central Ave,,Milton,MA,2186,617-696-4568,617-698-2238,"06,07,08","451 Central Ave, Milton, MA","(42.25727105324008, -71.08341134872772)",42.25727105324008,-71.08341134872772
Milton: Collicot,1890005,Public School,Principal,Holly Concannon,80 Edge Hill Rd,,Milton,MA,2186,617-696-4282,617-698-3577,"K,01,02,03,04,05","80 Edge Hill Rd, Milton, MA","(42.25368645, -71.05224794288516)",42.25368645,-71.05224794288516
Milton: Cunningham School,1890007,Public School,Principal,Jonathan Redden,44 Edge Hill Rd,,Milton,MA,2186,617-696-4285,617-698-3473,"PK,K,01,02,03,04,05","44 Edge Hill Rd, Milton, MA","(42.25368645, -71.05224794288516)",42.25368645,-71.05224794288516
Milton: Glover,1890010,Public School,Principal,Karen McDavitt,255 Canton Avenue,,Milton,MA,2186,617-696-4288,617-698-2346,"K,01,02,03,04,05","255 Canton Avenue, Milton, MA","(42.2614214, -71.0749931144795)",42.2614214,-71.0749931144795
Milton: Milton High,1890505,Public School,Principal,Karen Cahill,25 Gile Road,,Milton,MA,2186,617-696-4470,617-696-6990,"09,10,11,12","25 Gile Road, Milton, MA","(42.25136285, -71.087220104365)",42.25136285,-71.087220104365
Milton: Tucker,1890020,Public School,Principal,Catherine DesRoche,187 Blue Hills Pkwy,,Milton,MA,2186,617-696-4291,617-698-3374,"PK,K,01,02,03,04,05","187 Blue Hills Pkwy, Milton, MA","(42.26088545, -71.0943140381108)",42.26088545,-71.0943140381108
Neighborhood House Charter (District): Neighborhood House Charter School,4440205,Charter School,Principal,Kate Scott,21 Queen Street,,Dorchester,MA,2122,617-825-0703,617-825-1829,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12","21 Queen Street, Dorchester, MA","(42.2934057, -71.05361376161986)",42.2934057,-71.05361376161986
Newton: Bowen,2070015,Public School,Principal,Diana Guzzi,280 Cypress Street,,Newton Centre,MA,2459,617-559-9330,617-552-7363,"K,01,02,03,04,05","280 Cypress Street, Newton Centre, MA","(42.3218912, -71.18645824316474)",42.3218912,-71.18645824316474
Newton: John Ward,2070120,Public School,Principal,Rebecca Brogadir,10 Dolphin Rd,,Newton Centre,MA,2459,617-559-6450,617-552-5563,"K,01,02,03,04,05","10 Dolphin Rd, Newton Centre, MA","(42.34090485, -71.17842261905722)",42.34090485,-71.17842261905722
Newton: Mason-Rice,2070080,Public School,Principal,Jacob Bultema,149 Pleasant Street,,Newton Centre,MA,2459,617-559-9570,617-552-7315,"K,01,02,03,04,05","149 Pleasant Street, Newton Centre, MA","(42.33262725, -71.19934775688841)",42.33262725,-71.19934775688841
Revere: A. C. Whelan Elementary School,2480003,Public School,Principal,Andre Pelletier,107 Newhall Street,,Revere,MA,2151,781-388-7510,781-333-2074,"K,01,02,03,04,05","107 Newhall Street, Revere, MA","(42.41989265, -71.0198547329408)",42.41989265,-71.0198547329408
Revere: Abraham Lincoln,2480025,Public School,Principal,Sara Hoomis,68 Tuckerman Street,,Revere,MA,2151,781-286-8270,781-286-8315,"PK,K,01,02,03,04,05","68 Tuckerman Street, Revere, MA","(42.416318753138455, -71.00954108292862)",42.416318753138455,-71.00954108292862
Revere: Garfield Elementary School,2480056,Public School,Principal,Percy Napier,176 Garfield Avenue,,Revere,MA,2151,781-286-8296,781-286-3560,"PK,K,01,02,03,04,05","176 Garfield Avenue, Revere, MA","(42.40345535, -70.9924757462733)",42.40345535,-70.9924757462733
Revere: Garfield Middle School,2480057,Public School,Principal,Stephen Pechinsky,176 Garfield Avenue,,Revere,MA,2151,781-286-8298,781-286-3557,"06,07,08","176 Garfield Avenue, Revere, MA","(42.40345535, -70.9924757462733)",42.40345535,-70.9924757462733
Revere: Paul Revere,2480050,Public School,Principal,Maurice Coyle,395 Revere Street,,Revere,MA,2151,781-286-8278,781-286-8279,"K,01,02,03,04,05","395 Revere Street, Revere, MA","(42.41821065, -70.99545676292203)",42.41821065,-70.99545676292203
Revere: Revere High,2480505,Public School,Principal,Christopher Bowen,101 School Street,,Revere,MA,2151,781-286-8222,781-286-8378,"09,10,11,12","101 School Street, Revere, MA","(42.41215875, -71.00732585159412)",42.41215875,-71.00732585159412
Revere: Rumney Marsh Academy,2480014,Public School,Principal,Heather Bobb,140 American Legion Highway,,Revere,MA,2151,781-388-3500,781-485-8443,"06,07,08","140 American Legion Highway, Revere, MA","(42.414235000000005, -71.00430859986024)",42.414235000000005,-71.00430859986024
Revere: Staff Sargent James J. Hill Elementary School,2480035,Public School,Principal,Melissa Lomas,51 Park Avenue,,Revere,MA,2151,781-286-8284,781-333-2108,"K,01,02,03,04,05","51 Park Avenue, Revere, MA","(42.4108608, -71.01431513403614)",42.4108608,-71.01431513403614
Revere: Susan B. Anthony Middle School,2480305,Public School,Principal,Joanne Willett,107 Newhall Street,,Revere,MA,2151,781-388-7520,781-388-7521,"06,07,08","107 Newhall Street, Revere, MA","(42.41989265, -71.0198547329408)",42.41989265,-71.0198547329408
Roxbury Preparatory Charter (District): Roxbury Preparatory Charter School,4840505,Charter School,Principal,Tera Carr,120 Fisher Avenue,,Roxbury,MA,2120,617-566-2361,617-566-2373,"05,06,07,08,09,10,11,12","120 Fisher Avenue, Roxbury, MA","(42.3276141, -71.1051603)",42.3276141,-71.1051603
UP Academy Charter School of Boston (District): UP Academy Charter School of Boston,4800405,Charter School,Principal,James Frier,215 Dorchester Street,,South Boston,MA,2127,617-635-8819,617-635-8820,"06,07,08","215 Dorchester Street, South Boston, MA","(42.3337283, -71.05090619565084)",42.3337283,-71.05090619565084
UP Academy Charter School of Dorchester (District): UP Academy Charter School of Dorchester,35050405,Charter School,Principal,Ariella Silverstein-Tapp,35 Westville Street,,Boston,MA,2124,617-635-8810,--,"PK,K,01,02,03,04,05,06,07,08","35 Westville Street, Boston, MA","(42.29975915, -71.0703224408806)",42.29975915,-71.0703224408806
Winthrop: Arthur T. Cummings Elementary School,3460020,Public School,Principal,Andrea O'leary,40 Hermon Street,,Winthrop,MA,2152,617-846-5543,617-846-6559,"03,04,05","40 Hermon Street, Winthrop, MA","(42.377399350000005, -70.98550014098532)",42.377399350000005,-70.98550014098532
Winthrop: William P. Gorman/Fort Banks Elementary,3460015,Public School,Principal,Ilene Pearson,101 Kennedy Drive,,Winthrop,MA,2152,617-846-5509,617-539-0271,"PK,K,01,02","101 Kennedy Drive, Winthrop, MA","(42.38524625, -70.97984472518327)",42.38524625,-70.97984472518327
Winthrop: Winthrop High School,3460505,Public School,Principal,Matthew Crombie,400 Main Street,,Winthrop,MA,2152,617-846-5505,617-207-3448,"09,10,11,12","400 Main Street, Winthrop, MA","(42.380641, -70.97898251941976)",42.380641,-70.97898251941976
Winthrop: Winthrop Middle School,3460305,Public School,Principal,Brian Curley,60 Payson Street,,Winthrop,MA,2152,617-846-5507,617-207-3449,"06,07,08","60 Payson Street, Winthrop, MA","(42.38065352083333, -70.9801159375)",42.38065352083333,-70.9801159375
